model,calibration,aggregation,threshold,segment_ece_before,segment_ece_after,segment_brier_before,segment_brier_after,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auroc,val_auprc,val_tp,val_fp,val_tn,val_fn,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auroc,test_auprc,test_tp,test_fp,test_tn,test_fn,temperature
gated,none,top10,0.644,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.976314872866597,0.9038031319910514,0.9896864686468647,0.9417249417249417,0.9223744292237442,0.976729719951861,0.941300339924555,404,25,2399,43,0.9405772495755518,0.8531976744186046,0.9536093648384999,0.7328339575530587,0.7884486232370719,0.9211454988178,0.7344620620976783,587,214,4399,101,
gated,temperature,top10,0.676,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.976314872866597,0.901565995525727,0.9900990099009901,0.9437939110070258,0.9221967963386728,0.976812781949336,0.9412450261508927,403,24,2400,44,0.9417091114883984,0.8517441860465116,0.9551268155213527,0.7389659520807061,0.7913571910871033,0.9207384086429151,0.7342213553945688,586,207,4406,102,0.8402123065283448
gated,platt,top10,0.51,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9759665621734587,0.901565995525727,0.9896864686468647,0.9415887850467289,0.9211428571428572,0.9768127819493359,0.9413492425262805,403,25,2399,44,0.940954536879834,0.8531976744186046,0.9540429221764578,0.7346683354192741,0.7895090786819099,0.9208187553879583,0.7341383129886833,587,212,4401,101,
gated,beta_logistic,top5_quality_filter,0.43120764925040606,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9756182514803204,0.9038031319910514,0.9888613861386139,0.9373549883990719,0.9202733485193622,0.9728018103823804,0.9380287520652025,404,27,2397,43,0.9343520090548953,0.8517441860465116,0.9466724474311727,0.7043269230769231,0.7710526315789473,0.9245288844973003,0.7341367524787203,586,246,4367,102,
gated,beta_logistic,top10,0.458,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9756182514803204,0.901565995525727,0.9892739273927392,0.9393939393939394,0.9200913242009132,0.9766974180639539,0.9410774528417666,403,26,2398,44,0.9398226749669873,0.8517441860465116,0.952959028831563,0.7297633872976339,0.7860496311200537,0.9209904768626581,0.7343724701521149,586,217,4396,102,
gated,isotonic,top10,0.373,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9752699407871822,0.9060402684563759,0.988036303630363,0.9331797235023042,0.9194097616345063,0.9767080315414092,0.9452679560103736,405,29,2395,42,0.9343520090548953,0.8531976744186046,0.9464556687621938,0.7038369304556354,0.771353482260184,0.9215558973880691,0.7400227337666292,587,247,4366,101,
gated,none,top5_quality_filter,0.6880000000000001,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.9752699407871822,0.8948545861297539,0.9900990099009901,0.9433962264150944,0.9184845005740528,0.9729180971788455,0.9384537579535461,400,24,2400,47,0.9388794567062818,0.8459302325581395,0.952742250162584,0.7275,0.782258064516129,0.9246054502190473,0.7341549857758298,582,218,4395,106,
gated,platt,top5_quality_filter,0.5386886250059852,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9749216300940439,0.8948545861297539,0.9896864686468647,0.9411764705882353,0.9174311926605505,0.9728156540486262,0.9380884579473673,400,25,2399,47,0.9383135257498585,0.8444767441860465,0.952308692824626,0.7253433208489388,0.7803895231699127,0.9244198649922615,0.7338267078649902,581,220,4393,107,
gated,isotonic,top5_quality_filter,0.492,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9749216300940439,0.8903803131991052,0.9905115511551155,0.9453681710213777,0.9170506912442397,0.9727718157721812,0.9418608201070504,398,23,2401,49,0.9390681003584229,0.8401162790697675,0.9538261435074789,0.7307206068268015,0.7816091954022989,0.924459565736871,0.7460482753517875,578,213,4400,110,
gated,temperature,top5_quality_filter,0.735,0.07577760152880066,0.06417857870528923,0.05101963800192908,0.05145437895257871,0.9749216300940439,0.8859060402684564,0.9913366336633663,0.9496402877697842,0.9166666666666666,0.9728405726478689,0.9382718806147707,396,21,2403,51,0.940954536879834,0.8444767441860465,0.9553435941903317,0.7382465057179162,0.7877966101694915,0.9244589355663216,0.7343170667095974,581,206,4407,107,0.8402123065283448
gated,platt,top5,0.527,0.07577760152880066,0.04399417325391235,0.05101963800192908,0.04143550272523502,0.9728317659352143,0.9060402684563759,0.9851485148514851,0.9183673469387755,0.9121621621621622,0.9765276024246721,0.9373474144237169,405,36,2388,42,0.9307677796642143,0.8575581395348837,0.9416865380446564,0.6868451688009313,0.7627666451195863,0.9147473772301735,0.7128582511389486,590,269,4344,98,
gated,isotonic,top5,0.481,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9728317659352143,0.8993288590604027,0.9863861386138614,0.9241379310344827,0.9115646258503401,0.9769567560782924,0.9421768310468959,402,33,2391,45,0.931899641577061,0.8517441860465116,0.9438543247344461,0.693491124260355,0.7645140247879973,0.9151938530643934,0.713175106727041,586,259,4354,102,
gated,none,top5,0.768,0.07577760152880066,0.07577760152880066,0.05101963800192908,0.05101963800192908,0.9731800766283525,0.8859060402684564,0.9892739273927392,0.9383886255924171,0.9113924050632911,0.9765386773576686,0.9373587198170591,396,26,2398,51,0.9371816638370118,0.8415697674418605,0.9514415781487102,0.7210460772104608,0.7766599597585513,0.9149553335114615,0.7130383269305932,579,224,4389,109,
gated,beta_logistic,top5,0.4654061757580037,0.07577760152880066,0.04268907125272763,0.05101963800192908,0.04045464235944863,0.9724834552420759,0.9060402684563759,0.9847359735973598,0.916289592760181,0.9111361079865017,0.9765026838254296,0.9372441231018335,405,37,2387,42,0.9288813431428032,0.8590116279069767,0.9393019726858877,0.6785304247990815,0.7581783194355356,0.9148220524402724,0.7129802247839805,591,280,4333,97,
